"","id","host_id","host_since","host_response_rate","host_acceptance_rate","host_is_superhost","host_listings_count","host_total_listings_count","host_identity_verified","neighbourhood_group_cleansed","latitude","longitude","is_location_exact","room_type","accommodates","bathrooms","bedrooms","beds","square_feet","price","cleaning_fee","minimum_nights","number_of_reviews","number_of_reviews_ltm","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","cancellation_policy","reviews_per_month","Pre_20_reviews","Post_20_reviews","ForRent"
"18",12627,49670,2009-10-29,100,73,"t",1,1,"t","Brooklyn",40.65944,-73.96238,"t","Entire home/apt",2,1,1,1,NA,150,125,14,13,2,97,10,10,10,10,10,10,"strict_14_with_grace_period",0.39,0,0,"t"
"19",12940,50148,2009-10-31,60,98,"f",4,4,"t","Brooklyn",40.68111,-73.95591,"t","Entire home/apt",2,1,1,1,NA,110,100,5,66,5,89,9,9,10,9,8,9,"moderate",0.52,1,0,"t"
"20",13677,53621,2009-11-12,77,96,"f",2,2,"t","Manhattan",40.74395,-73.99451,"t","Private room",1,NA,1,1,NA,150,40,2,69,0,97,10,10,10,10,10,10,"strict_14_with_grace_period",0.59,0,0,"t"
"21",14290,56104,2009-11-20,100,80,"f",3,3,"f","Brooklyn",40.7042,-73.9356,"t","Entire home/apt",2,1,2,0,NA,228,128,3,94,12,94,10,9,10,9,10,9,"strict_14_with_grace_period",0.73,4,0,"t"
"22",14322,56284,2009-11-21,NA,100,"f",1,1,"t","Manhattan",40.73961,-73.98074,"t","Entire home/apt",1,1,1,1,NA,200,150,7,20,1,96,9,9,9,10,10,9,"strict_14_with_grace_period",0.2,0,0,"t"
"23",14377,56512,2009-11-22,NA,100,"f",1,1,"t","Brooklyn",40.70881,-73.9593,"t","Entire home/apt",2,1,1,1,NA,150,100,30,113,9,97,10,10,10,10,10,9,"strict_14_with_grace_period",0.89,1,0,"t"
"24",14991,59023,2009-12-01,NA,0,"f",1,1,"t","Manhattan",40.72004,-73.99104,"t","Private room",1,1,1,1,NA,110,0,5,19,0,98,10,10,10,10,10,10,"strict_14_with_grace_period",0.15,0,0,"t"
"25",15220,59734,2009-12-03,100,95,"f",2,2,"t","Manhattan",40.75531,-73.99293,"t","Private room",1,0.5,1,1,NA,69,NA,2,324,35,93,9,9,10,10,10,9,"strict_14_with_grace_period",2.55,5,0,"t"
"26",15341,60049,2009-12-04,100,100,"f",3,3,"t","Manhattan",40.72297,-73.99684,"t","Entire home/apt",2,1,1,2,NA,180,175,7,25,5,91,9,9,10,10,9,9,"moderate",0.31,0,0,"t"
"27",15396,60278,2009-12-05,80,16,"f",2,2,"t","Manhattan",40.74623,-73.9953,"t","Entire home/apt",4,2,2,2,NA,400,125,14,5,0,100,10,10,10,10,10,10,"strict_14_with_grace_period",0.1,0,0,"t"
"28",15711,61491,2009-12-09,92,92,"t",2,2,"t","Manhattan",40.77065,-73.95269,"f","Entire home/apt",6,1,2,4,NA,200,200,1,82,16,94,10,9,9,9,10,9,"strict_14_with_grace_period",0.65,5,0,"t"
"29",15729,61531,2009-12-09,100,33,"f",3,3,"t","Brooklyn",40.67695,-74.01121,"t","Private room",4,1,1,1,NA,89,60,12,25,0,79,7,7,9,9,8,7,"strict_14_with_grace_period",0.2,0,0,"t"
"30",15962,62407,2009-12-12,NA,84,"f",0,0,"f","Manhattan",40.7236,-73.98466,"t","Entire home/apt",2,1,1,1,NA,130,NA,3,58,0,87,9,7,10,10,10,9,"strict_14_with_grace_period",0.47,0,0,"t"
"31",16326,63588,2009-12-16,90,64,"t",2,2,"t","Brooklyn",40.67811,-73.96428,"t","Entire home/apt",8,2,4,4,NA,200,200,28,149,6,99,10,10,10,10,10,10,"strict_14_with_grace_period",1.26,1,0,"t"
"32",16580,64442,2009-12-19,70,99,"t",1,1,"t","Manhattan",40.72649,-73.97904,"t","Private room",2,1,1,1,NA,80,45,1,399,68,95,10,10,10,9,10,9,"strict_14_with_grace_period",4.82,15,0,"t"
"33",16595,64522,2009-12-20,0,81,"f",1,1,"f","Brooklyn",40.70933,-73.96792,"t","Entire home/apt",4,1,1,3,NA,220,100,1,168,21,94,10,10,10,10,10,9,"strict_14_with_grace_period",1.43,2,0,"t"
"34",16821,4396,2008-11-19,100,59,"f",3,3,"t","Manhattan",40.72298,-73.98474,"t","Private room",1,1,1,1,NA,99,50,1,117,14,93,9,9,10,10,10,9,"strict_14_with_grace_period",1.23,1,0,"t"
"35",17693,68428,2010-01-07,NA,90,"t",2,2,"f","Manhattan",40.83139,-73.94095,"t","Private room",2,1,1,1,NA,65,40,2,60,12,98,10,10,10,10,10,10,"strict_14_with_grace_period",1.43,0,0,"t"
"36",17747,68599,2010-01-07,NA,100,"t",1,1,"t","Brooklyn",40.68346,-73.96374,"t","Private room",2,1,1,1,1000,105,47,2,128,27,99,10,10,10,10,10,10,"strict_14_with_grace_period",1.02,2,0,"t"
"37",18127,69829,2010-01-11,NA,13,"f",1,1,"t","Manhattan",40.72828,-73.98801,"t","Entire home/apt",2,1,1,1,NA,170,100,5,21,0,97,10,10,10,10,10,10,"strict_14_with_grace_period",0.18,0,0,"t"
"38",18590,71512,2010-01-18,100,93,"t",5,5,"t","Brooklyn",40.69273,-73.97363,"t","Private room",2,1.5,1,1,NA,95,85,3,152,10,97,10,10,10,10,10,10,"moderate",1.23,1,0,"t"
"39",18728,71876,2010-01-20,NA,95,"t",1,1,"t","Manhattan",40.74138,-74.00197,"t","Private room",3,1.5,1,1,NA,150,50,4,184,17,99,10,10,10,10,10,10,"strict_14_with_grace_period",1.64,2,0,"t"
"40",18764,72014,2010-01-20,0,100,"f",1,1,"f","Brooklyn",40.71154,-73.96112,"t","Private room",4,1,2,2,NA,145,79,3,63,2,89,9,9,10,10,9,9,"strict_14_with_grace_period",0.51,0,0,"t"
"41",19169,73128,2010-01-24,100,97,"t",2,2,"t","Manhattan",40.71851,-73.98892,"t","Entire home/apt",4,1,2,2,NA,285,100,33,77,8,88,9,9,10,9,10,8,"strict_14_with_grace_period",0.62,1,0,"t"
"42",20611,72014,2010-01-20,0,100,"f",1,1,"f","Brooklyn",40.71156,-73.96218,"t","Private room",2,1,1,1,NA,85,35,3,193,20,94,10,9,10,10,10,9,"strict_14_with_grace_period",1.55,0,0,"t"
"43",20724,961342,2011-08-12,100,37,"f",0,0,"t","Brooklyn",40.70032,-73.9383,"t","Private room",1,NA,1,1,NA,65,10,5,30,6,86,9,8,9,8,9,9,"strict_14_with_grace_period",0.31,0,0,"t"
"44",21644,82685,2010-02-18,100,60,"f",1,1,"t","Manhattan",40.82803,-73.94731,"t","Private room",1,1,1,0,NA,89,30,1,3,2,100,10,10,10,9,10,9,"strict_14_with_grace_period",0.15,0,0,"t"
"45",21794,83257,2010-02-20,NA,90,"t",2,2,"f","Manhattan",40.74008,-74.00271,"t","Private room",2,1,1,1,220,85,50,7,36,6,99,10,10,10,10,10,10,"strict_14_with_grace_period",0.29,1,0,"t"
"46",22911,87773,2010-03-03,67,100,"f",3,3,"t","Brooklyn",40.68413,-73.92357,"t","Entire home/apt",3,1,1,3,NA,125,85,7,139,0,92,10,10,10,10,8,9,"strict_14_with_grace_period",1.12,0,0,"t"
"47",23135,11481,2009-03-26,100,64,"f",3,3,"t","Brooklyn",40.67967,-74.00154,"t","Entire home/apt",3,1,2,0,NA,175,80,2,259,27,94,10,10,10,10,10,10,"strict_14_with_grace_period",2.11,1,0,"t"
"48",23545,92411,2010-03-13,100,78,"f",2,2,"t","Manhattan",40.82748,-73.95069,"t","Entire home/apt",6,2,2,2,1000,200,0,28,219,1,95,10,10,10,9,9,10,"strict_14_with_grace_period",1.77,0,0,"t"
"49",23686,93790,2010-03-15,100,100,"f",2,2,"f","Manhattan",40.73096,-74.00319,"t","Entire home/apt",5,2,3,3,NA,500,200,5,49,3,88,9,9,9,9,10,9,"strict_14_with_grace_period",0.51,0,0,"t"
"50",24143,97219,2010-03-22,100,100,"t",5,5,"t","Brooklyn",40.71332,-73.94177,"t","Private room",2,2,1,1,NA,101,90,3,352,17,96,10,10,10,10,10,9,"strict_14_with_grace_period",2.88,5,0,"t"
"51",24285,97797,2010-03-23,NA,100,"f",1,1,"f","Brooklyn",40.66941,-73.98109,"t","Entire home/apt",9,3,4,6,NA,220,250,30,88,0,96,10,10,10,10,10,10,"strict_14_with_grace_period",0.72,0,0,"t"
"52",25235,87773,2010-03-03,67,100,"f",3,3,"t","Brooklyn",40.68373,-73.92377,"t","Entire home/apt",6,1,2,4,1000,125,85,5,170,9,92,10,9,10,10,9,9,"strict_14_with_grace_period",1.39,2,0,"t"
"53",25696,107628,2010-04-12,100,100,"f",1,1,"f","Manhattan",40.8104,-73.94309,"t","Private room",2,1,1,1,NA,100,60,2,190,23,95,10,10,10,10,10,9,"strict_14_with_grace_period",1.62,1,0,"t"
"54",26362,59734,2009-12-03,100,95,"f",2,2,"t","Manhattan",40.75527,-73.99291,"t","Private room",1,0.5,1,1,NA,59,NA,2,374,42,91,9,9,9,10,10,9,"strict_14_with_grace_period",3.05,10,0,"t"
"55",26520,51038,2009-11-03,100,93,"t",8,8,"t","Brooklyn",40.68698,-73.96572,"t","Private room",3,1,1,2,NA,125,0,2,29,10,96,9,9,10,10,10,9,"strict_14_with_grace_period",0.27,1,0,"t"
"56",26969,115307,2010-04-29,100,100,"t",1,1,"t","Brooklyn",40.71942,-73.95748,"t","Entire home/apt",6,1.5,3,4,NA,325,125,4,342,21,96,10,10,10,10,10,10,"flexible",2.88,1,0,"t"
"57",27024,3227,2008-09-26,50,50,"f",1,1,"t","Manhattan",40.74968,-74.00052,"t","Entire home/apt",4,1,1,3,400,150,45,1,435,7,90,10,9,10,10,10,9,"strict_14_with_grace_period",3.71,0,0,"t"
"58",27385,72062,2010-01-20,100,84,"f",4,4,"f","Manhattan",40.72555,-73.97965,"t","Entire home/apt",4,1,1,3,850,225,NA,1,124,9,94,10,9,10,10,10,9,"strict_14_with_grace_period",1.03,1,0,"t"
"59",27644,119510,2010-05-06,100,96,"t",1,1,"t","Manhattan",40.82754,-73.94919,"t","Entire home/apt",6,1,1,1,NA,170,NA,2,209,18,95,10,10,10,10,10,9,"strict_14_with_grace_period",1.95,0,0,"t"
"60",27659,119588,2010-05-06,100,62,"f",2,2,"t","Brooklyn",40.66499,-73.97925,"t","Entire home/apt",9,1.5,2,6,NA,400,120,2,16,0,95,10,9,10,10,10,10,"strict_14_with_grace_period",0.2,0,0,"t"
"61",28396,6197784,2013-05-02,NA,NA,"f",1,1,"f","Brooklyn",40.71923,-73.96468,"t","Private room",2,1,1,1,800,90,NA,1,9,0,91,9,9,9,9,10,9,"flexible",0.08,0,0,"t"
"62",29013,35935,2009-09-03,100,56,"f",0,0,"f","Brooklyn",40.68332,-73.9547,"t","Private room",2,1,1,1,NA,70,NA,3,64,1,93,9,9,9,9,9,9,"strict_14_with_grace_period",0.53,1,0,"t"
"63",29455,126607,2010-05-17,67,93,"f",4,4,"f","Manhattan",40.81618,-73.94894,"t","Entire home/apt",4,1,1,3,NA,66,80,7,166,13,92,9,9,10,10,9,9,"strict_14_with_grace_period",1.38,1,0,"t"
"64",29628,127608,2010-05-18,NA,100,"t",1,1,"t","Brooklyn",40.68414,-73.96351,"t","Private room",2,1,1,1,NA,89,50,3,281,26,98,10,10,10,10,10,10,"moderate",2.31,3,0,"t"
"65",31902,137292,2010-06-02,100,50,"f",1,1,"t","Brooklyn",40.63188,-73.93248,"t","Private room",2,1,3,1,NA,77,20,2,4,2,87,8,8,9,9,9,9,"strict_14_with_grace_period",0.03,0,0,"t"
"66",31994,137814,2010-06-03,100,100,"f",3,3,"t","Brooklyn",40.68818,-73.96383,"t","Private room",2,1,1,1,NA,76,25,2,457,35,90,9,9,9,10,10,10,"moderate",3.78,10,0,"t"
"67",32037,116599,2010-05-01,NA,72,"t",3,3,"t","Brooklyn",40.68513,-73.96648,"t","Private room",3,1.5,1,2,550,135,90,4,92,10,97,10,10,10,10,10,10,"strict_14_with_grace_period",0.77,2,0,"t"
"68",32329,139853,2010-06-07,NA,0,"f",1,1,"f","Manhattan",40.72895,-73.98377,"t","Entire home/apt",1,1,1,1,NA,160,60,14,3,0,100,10,10,10,10,10,10,"strict_14_with_grace_period",0.03,0,0,"t"
"69",32965,137974,2010-06-03,90,97,"f",3,3,"f","Brooklyn",40.68281,-73.93524,"t","Entire home/apt",6,1,1,5,NA,115,0,3,141,19,92,10,9,10,10,10,9,"strict_14_with_grace_period",1.69,3,0,"t"
"70",33009,143027,2010-06-12,100,87,"t",1,1,"f","Brooklyn",40.71492,-73.95935,"t","Entire home/apt",2,1,1,1,NA,195,65,4,252,14,99,10,10,10,10,10,10,"strict_14_with_grace_period",2.08,2,0,"t"
"71",33014,143048,2010-06-12,100,31,"f",2,2,"t","Manhattan",40.72354,-73.98295,"t","Entire home/apt",3,1,2,2,NA,195,125,1,34,5,88,8,9,9,9,9,9,"moderate",0.29,0,0,"t"
"72",33156,128669,2010-05-20,NA,NA,"f",10,10,"f","Manhattan",40.78849,-73.96883,"t","Entire home/apt",2,1,1,1,NA,109,80,10,19,0,100,10,10,10,10,10,10,"strict_14_with_grace_period",0.17,0,0,"t"
"73",36133,142684,2010-06-11,NA,100,"t",1,1,"t","Brooklyn",40.71536,-73.96057,"t","Private room",2,1,1,1,NA,125,70,3,165,11,94,10,10,10,10,10,9,"strict_14_with_grace_period",1.54,2,0,"t"
"74",36647,157798,2010-07-04,100,0,"f",1,1,"f","Manhattan",40.79295,-73.93997,"t","Private room",2,1,1,1,NA,59,30,3,34,0,95,10,10,10,10,9,9,"strict_14_with_grace_period",0.29,0,0,"t"
"75",36703,158284,2010-07-05,NA,25,"t",1,1,"t","Manhattan",40.73226,-74.00401,"t","Entire home/apt",2,1,1,2,NA,200,150,45,136,2,98,10,10,10,10,10,9,"strict_14_with_grace_period",1.14,1,0,"t"
"76",37197,160605,2010-07-07,NA,33,"f",1,1,"t","Manhattan",40.72125,-73.98177,"t","Entire home/apt",4,1,2,3,NA,162,100,2,64,1,90,10,9,10,10,9,9,"moderate",0.6,0,0,"t"
"77",38638,92788,2010-03-14,NA,100,"t",2,2,"t","Manhattan",40.77711,-73.9527,"t","Entire home/apt",2,1,1,2,NA,219,95,4,133,8,95,10,10,10,10,10,9,"strict_14_with_grace_period",1.11,0,0,"t"
"78",38663,165789,2010-07-13,NA,17,"f",1,1,"f","Brooklyn",40.68559,-73.98094,"t","Entire home/apt",13,2.5,5,5,NA,475,200,3,23,0,93,10,9,10,10,10,9,"strict_14_with_grace_period",0.24,0,0,"t"
"79",39282,168525,2010-07-16,100,100,"f",2,2,"f","Brooklyn",40.71088,-73.95055,"t","Private room",2,1,1,1,NA,50,0,4,218,16,96,10,9,10,10,10,10,"moderate",1.82,6,0,"t"
"80",39586,12220,2009-04-04,NA,86,"t",2,2,"t","Manhattan",40.77953,-73.98829,"t","Private room",2,1,1,1,NA,150,60,1,181,0,91,9,9,9,9,10,9,"strict_14_with_grace_period",1.54,0,0,"t"
"81",40453,174025,2010-07-19,NA,50,"f",2,2,"t","Manhattan",40.76123,-73.9642,"t","Entire home/apt",1,1,1,1,750,250,50,3,4,0,100,10,9,10,10,10,10,"flexible",0.06,0,0,"t"
"82",42300,184755,2010-07-29,NA,NA,"f",0,0,"f","Manhattan",40.71824,-73.99315,"t","Entire home/apt",4,2,2,2,NA,450,120,5,57,0,95,9,9,10,10,9,9,"strict_14_with_grace_period",0.48,0,0,"t"
"83",42580,137814,2010-06-03,100,100,"f",3,3,"t","Brooklyn",40.68818,-73.96383,"t","Private room",2,1,1,1,NA,70,25,2,322,31,91,10,10,10,10,10,10,"moderate",3.36,3,0,"t"
"84",42729,11481,2009-03-26,100,64,"f",3,3,"t","Brooklyn",40.6783,-74.00135,"t","Entire home/apt",2,1,2,2,NA,165,80,2,169,21,92,10,10,10,10,10,9,"strict_14_with_grace_period",1.42,1,0,"t"
"85",42882,185978,2010-07-30,100,86,"t",1,1,"f","Staten Island",40.64633,-74.08156,"t","Private room",2,1,1,1,NA,70,NA,2,176,11,96,10,9,10,10,9,10,"flexible",1.58,0,0,"t"
"86",44096,190409,2010-08-03,100,79,"t",3,3,"t","Bronx",40.83232,-73.93184,"t","Private room",1,1,1,1,9,38,0,1,277,68,98,10,10,10,10,9,10,"strict_14_with_grace_period",2.34,7,0,"t"
"87",44212,72062,2010-01-20,100,84,"f",4,4,"f","Manhattan",40.72518,-73.98034,"t","Private room",2,1,1,0,NA,125,NA,1,96,13,95,10,10,10,10,10,10,"strict_14_with_grace_period",0.8,0,0,"t"
"88",44229,181376,2010-07-26,100,97,"t",2,2,"f","Brooklyn",40.69098,-73.97113,"t","Private room",2,1,1,1,NA,110,40,2,231,20,94,10,10,10,10,10,10,"strict_14_with_grace_period",1.96,1,0,"t"
"89",44288,193637,2010-08-06,80,20,"f",3,3,"t","Manhattan",40.73756,-74.00405,"t","Entire home/apt",2,1,1,1,NA,100,40,3,89,3,95,10,9,10,10,10,9,"strict_14_with_grace_period",0.75,1,0,"t"
"90",44472,170703,2010-07-18,100,50,"f",2,2,"t","Manhattan",40.72825,-73.99286,"t","Entire home/apt",5,2,3,3,NA,385,200,5,26,4,100,10,10,10,10,10,10,"moderate",0.22,0,0,"t"
"91",45393,201297,2010-08-14,NA,0,"f",1,1,"t","Manhattan",40.73423,-74.0046,"t","Entire home/apt",2,1,1,1,NA,150,60,26,38,0,97,10,10,10,10,10,10,"strict_14_with_grace_period",0.32,0,0,"t"
"92",45556,67778,2010-01-04,100,100,"t",3,3,"t","Brooklyn",40.68834,-73.97578,"t","Private room",2,1.5,1,1,NA,65,35,2,249,47,98,10,10,10,10,10,10,"strict_14_with_grace_period",2.1,2,0,"t"
"93",45910,204539,2010-08-17,100,50,"t",5,5,"t","Queens",40.70382,-73.89797,"t","Entire home/apt",16,2.5,5,10,NA,350,200,4,13,3,88,9,9,10,10,10,9,"strict_14_with_grace_period",0.13,0,0,"t"
"94",45936,867225,2011-07-25,NA,81,"f",0,0,"t","Manhattan",40.8063,-73.95985,"t","Private room",2,1,1,0,NA,99,50,4,129,7,93,9,9,10,10,10,9,"strict_14_with_grace_period",1.12,2,0,"t"
"95",47199,212722,2010-08-25,NA,93,"t",1,1,"t","Manhattan",40.76834,-73.95334,"t","Private room",1,1,1,1,NA,90,10,3,220,24,96,10,10,10,10,10,9,"strict_14_with_grace_period",1.85,1,0,"t"
"96",47362,214148,2010-08-26,NA,0,"f",1,1,"t","Brooklyn",40.68237,-73.9415,"t","Entire home/apt",2,1,1,1,500,175,NA,26,30,0,89,9,9,10,10,8,9,"strict_14_with_grace_period",0.26,0,0,"t"
"97",51850,27848,2009-07-27,50,84,"f",5,5,"t","Queens",40.67144,-73.76501,"t","Private room",2,1,1,1,NA,55,15,2,53,1,88,9,9,9,9,8,9,"strict_14_with_grace_period",0.45,0,0,"t"
"98",53137,240360,2010-09-20,NA,NA,"f",1,1,"f","Manhattan",40.76244,-73.99271,"t","Entire home/apt",2,1,1,2,NA,195,NA,5,10,1,60,NA,NA,NA,NA,NA,NA,"strict_14_with_grace_period",0.47,0,0,"t"
"99",53469,204539,2010-08-17,100,50,"t",5,5,"t","Queens",40.71722,-73.87856,"t","Entire home/apt",4,1,1,0,NA,98,50,7,33,0,87,9,9,9,10,9,9,"strict_14_with_grace_period",0.28,0,0,"t"
"100",53470,204539,2010-08-17,100,50,"t",5,5,"t","Queens",40.70234,-73.89816,"t","Private room",7,1,2,3,NA,160,100,4,6,0,80,10,9,9,10,9,9,"strict_14_with_grace_period",0.06,0,0,"t"
"101",53477,204539,2010-08-17,100,50,"t",5,5,"t","Queens",40.71546,-73.87854,"t","Entire home/apt",12,2,4,8,1750,265,175,6,39,1,95,9,9,10,9,9,9,"strict_14_with_grace_period",0.35,0,0,"t"
"102",54453,255583,2010-10-07,NA,NA,"f",1,1,"t","Manhattan",40.76548,-73.98474,"t","Shared room",1,1,1,1,NA,105,60,6,10,0,90,8,9,9,9,10,9,"strict_14_with_grace_period",0.09,0,0,"t"
"103",54544,256161,2010-10-07,100,100,"f",5,5,"t","Manhattan",40.81035,-73.94598,"t","Entire home/apt",5,1,1,4,NA,160,85,1,122,20,92,9,9,9,9,9,9,"moderate",1.06,1,0,"t"
"104",54626,190409,2010-08-03,100,79,"t",3,3,"t","Bronx",40.83075,-73.93058,"t","Private room",2,1.5,1,1,NA,42,0,1,181,52,98,10,10,10,10,10,10,"strict_14_with_grace_period",1.7,6,0,"t"
"105",54694,27848,2009-07-27,50,84,"f",5,5,"t","Queens",40.67144,-73.76501,"t","Private room",2,1,1,1,NA,55,15,2,62,0,87,9,10,9,9,8,9,"strict_14_with_grace_period",0.53,0,0,"t"
"106",55959,168525,2010-07-16,100,100,"f",2,2,"f","Brooklyn",40.71065,-73.95087,"t","Private room",1,1,1,1,NA,55,NA,4,92,11,96,10,9,10,10,10,10,"moderate",1.1,4,0,"t"
"107",56859,256161,2010-10-07,100,100,"f",5,5,"t","Manhattan",40.81219,-73.94499,"t","Private room",2,1,1,1,NA,75,40,1,207,16,93,10,10,10,10,9,10,"strict_14_with_grace_period",1.79,2,0,"t"
"108",57166,272006,2010-10-26,99,99,"t",13,13,"f","Queens",40.77185,-73.90502,"t","Entire home/apt",4,1,1,2,NA,140,60,2,36,20,93,10,9,10,10,10,9,"strict_14_with_grace_period",0.31,2,0,"t"
"109",57297,199392,2010-08-12,NA,52,"t",1,1,"t","Brooklyn",40.68926,-73.99386,"t","Entire home/apt",3,1,1,1,500,159,60,2,239,19,94,10,10,10,10,10,9,"strict_14_with_grace_period",2.06,1,0,"t"
"110",57740,275459,2010-10-31,NA,38,"f",1,1,"t","Manhattan",40.73012,-73.99053,"t","Entire home/apt",2,1,1,1,NA,239,125,4,7,0,97,9,10,10,10,10,9,"strict_14_with_grace_period",0.06,0,0,"t"
"111",57754,275578,2010-10-31,100,83,"t",1,1,"t","Manhattan",40.7403,-73.98498,"t","Entire home/apt",2,1,1,1,800,195,75,2,119,12,99,10,10,10,10,10,10,"moderate",1.08,2,0,"t"
"112",57901,276207,2010-11-01,100,100,"f",1,1,"t","Manhattan",40.79696,-73.97047,"t","Private room",1,1,1,1,NA,70,0,60,9,0,95,9,8,9,10,10,9,"flexible",0.08,0,0,"t"
"113",59121,204539,2010-08-17,100,50,"t",5,5,"t","Queens",40.70411,-73.89934,"t","Entire home/apt",9,1,3,1,1100,145,100,4,2,1,100,9,10,10,10,10,10,"strict_14_with_grace_period",0.02,0,0,"t"
"114",59709,186084,2010-07-30,100,14,"f",0,0,"t","Manhattan",40.71756,-73.99503,"t","Entire home/apt",5,1,2,2,NA,200,NA,3,21,4,90,10,9,10,10,9,9,"strict_14_with_grace_period",0.19,1,0,"t"
"115",60164,289653,2010-11-17,61,88,"f",3,3,"t","Manhattan",40.72003,-74.00262,"t","Entire home/apt",6,1,3,3,2000,500,100,4,106,13,87,9,9,9,10,9,9,"strict_14_with_grace_period",1,1,0,"t"
"116",60193,289838,2010-11-17,NA,NA,"f",0,0,"f","Manhattan",40.80481,-73.94777,"t","Private room",3,1,0,2,550,150,NA,3,2,0,90,10,10,10,9,8,9,"strict_14_with_grace_period",0.02,0,0,"t"
