"","listing_id","id","date","reviewer_id","reviewer_name","comments"
"20","16338","621537484",2020-04-01,23343391,"Jenny","Nice spacious room in a good apt in an amazing neighborhood. It has what you need and is a great value for the area. Patricia is super nice and will go out of her way to accomodate your stay."
"21","17037","619682857",2020-03-18,8721344,"Coco","We really enjoyed our stay at Charlotte's. 
She went out of her way to make us feel comfortable and provide us with everything we could possibly need. 
Her apartment has a lot of personality, and we enjoyed every little detail.

Thank you Charlotte!"
"22","18195","624933383",2020-05-16,44861726,"Echo","So lucky to find this place! Really love this apartment, everything is perfect. Justin is a great host, roommate, and friend. An ideal place for long-stay."
"23","18198","623429193",2020-04-30,186787981,"Touba","Everything was perfect and as described.  Safe neighborhood, Very clean appartement, comfortable bed, spacious bedroom, excellent location and a super nice host that made sure I had everything i need during my stay. Definitely coming back to justin’s place in my next trip to NY"
"24","19159","623441905",2020-04-30,120138440,"Danielle","Sybilla is very responsive And accommodating. Her place is very nice."
"25","20717","619454086",2020-03-17,7725068,"Michelle","Great location and host!"
"26","20755","623075434",2020-04-25,205380470,"Sapna","Great place to stay! Erica and Sue were very accommodating. They even were nice enough to store my belongings for longer during the coronavirus situation. The room is spacious for Brooklyn and has nice private bath. All the common areas were kept clean and other guests were respectful. Neighborhood is quiet and safe to walk around. Would definitely recommend staying here!"
"27","26785","623557293",2020-05-01,56460257,"Miguel","My fiance and I stayed at Dani's 2nd floor for a period of 2 months. She lives downstairs with her family so communication with her on any matter was seamless. The apartment is very cozy with a spacious kitchen. All the amenities necessary for our stay were provided by Dani. She happens to be one of the earlier hosts in Brooklyn and all her experience speaks to that fact. The area makes this listing special. Park slope has plenty to offer including Prospect Park less than 10 minutes walk and the F and G similarly close. If you happen to drive as we did, side parking is relatively easy relatively speaking. I would highly recommend anyone to spend a short or long stay at Dani's, you will not be disappointed!"
"28","26933","618073737",2020-03-14,6620870,"Todd","Bruce was great. Communicated well, super helpful, and an easygoing host. The location was great, with numerous food/drink options in easy walking distance."
"29","29683","618779987",2020-03-15,2802971,"Jules","Uli’s place is really nice decorated and clean, as shown in the pictures.
He was flexible as we had our flights delayed and let us stayed few hours more to not stay in the street with ours luggages, i recommand!"
"30","29683","622473820",2020-04-15,151292592,"Andrew","My stay overall was very peaceful. I booked here to have a quiet place to hunker down in for a couple weeks. The kitchen was fully-equipped and the location was right by plenty of grocery stores. The space is very chic and warm. Uli was a very responsive host, and answered all my questions in little to no time."
"31","29683","624825586",2020-05-15,7569639,"Lilly","If you read some of my other reviews, you'll notice that my husband and I have been chronic stay-cationers in NYC, preferring to explore different neighborhoods when we do have the luxury of staying together sporadically. Out of all the Airbnbs that we've had the pleasure of inhabiting, Uli's place was our definite favorite thus far.   First off, as you can see from the photos, the apartment is impeccably decorated, with some very tongue-in-cheek artwork that I'm a huge fan of. The kitchen is fully furnished with high-end labels, and for a month-long stay, we made good use of the calphalon cookware :) There's multiple routes for the coffee-addicted (as we are), in the form of a Nespresso machine, a French press, or an Italian moka pot. And if your preference is to have someone else make your coffee, I highly recommend Lazy Llama, just a short minute's walk down the block.

Prior to check-in, Uli was communicative and ensured that any worries we had about the cleaning and hiccups with check-in were taken care of, and we were able to very easily access KeyCafe to pick up our keys.  During the entire stay, we stayed in touch and he never took more than a few hours to respond.

We are slightly biased because this is our favorite neighborhood, but there's nothing quite like escaping for a walk through Thompkins Square Park, a short jog to the East River promenade, or across the Williamsburg Bridge. Lastly, and most importantly, I was working from home during my stay, and the internet was incredibly reliable for my multiple conference calls and long work days."
"32","31130","627468183",2020-06-02,4106016,"Olga","It was very pleasant experience to stay with Nicole in her cozy and quiet place in the middle of Manhattan. Super convenient location to any corner of New York City. Comfy bed, good size room. 
Place very clean. She is very friendly and helpful host."
"33","32023","619076437",2020-03-16,21625453,"Vera Maria","Khem is the kind of person you want to meet if you are going to NY! We loved the Apartment and the neighborhood."
"34","35526","620241167",2020-03-21,236856998,"Howard","Fantastic Location and wonderful host"
"35","39267","617994624",2020-03-14,202292954,"MaryAnn","In the first place there is a lock box to get into the apartment, through messaging only, we were told that we would receive the code for it before we arrived. However we didn’t and had to wait on the street until we could get the code, which we had to call the housekeeper Michelle for because Marie didn’t answer our calls. As a matter of fact she never once answered our calls. She would just send a message instead, saying she was sorry she missed the call. 

The picture of the apartment is completely deceiving! It is not a bright, sweet apartment nor is it “big” even by New York standards. There are no curtains on the windows instead there are 2 old, dirty rattan blinds. It was almost impossible to open the windows for the fresh air that was desperately needed because of the dank smell in the apartment. 

The entire place was filthy. 
The furniture was old and dirty. Old is ok, but not when it’s too dirty to sit on. The so called futon did not open. It was basically a sofa with a sheet over it. We couldn’t have used it regardless because  underneath the sheet were filthy, stained cushions. I wouldn’t have allowed a dog to sleep on it! Unfortunately it was the only place you could sit to put on your shoes because the rest of the furniture was so old and broken I tried to sit on one chair and it threw me forward.

Fresh linens??? The sheets on the bed smelled bad, definitely not recently washed! We were left two bath towels and they didn’t smell fresh either. The bathroom was so filthy neither of us wanted to even put a towel in there while we showered. We kept the bar of soap we brought on the box that it came in. There was one hand towel in the bathroom but both sides had black dirt on them. (Took pictures) Looked as if someone had used it to dust furniture, but if they had it wasn’t in this apartment. 

As for the kitchen, there were no paper towels or a dish towel. The microwave was so dirty you couldn’t possibly put food in there without a paper plate or paper towel. We tore the lid off our pizza box & used it to warm food. There was dried food (or something!!!) on the kitchen walls, (took pictures), the countertops were filthy & the kitchen was too gross to have cooked in! We were in New York & trying out all the different restaurants is a must!  However if you’re planning on cooking your own meals ... good luck with that! As for the full-size refrigerator, that’s a complete lie. It’s a tiny, dirty refrigerator. It being small wasn’t the problem though, the fact that the seal was so worn out & it wouldn’t close, was! It wouldn’t even keep a bottle of water cold! Within the first hour of being there I made the mistake of trying to take a glass out of the kitchen cabinet. The glass stuck to the dirty contact paper underneath, so we didn’t even use them. The utensils were on top of the refrigerator and were so dirty that when we had to eat off forks I washed them before at least three times. Luckily there was some dish detergent under the sink. 
    After five days, when we ran out of the one roll of toilet paper they’d left, (for a 5 day stay) we contacted the “housekeeper” Michelle. Though she left a note saying that we could contact her 24/7 she was quite rude acting as though she couldn’t believe there was no more toilet paper. When she did bring the toilet paper (after 9pm)she suggested that we could’ve just gone to the CVS on the corner and bought some!! I think toilet paper and paper towels are the minimum that you could put in an Airbnb! Since I had already bought paper plates and a can of Lysol, I wasn’t about to spend another nickel on something that should’ve been there in the first place. We left the paper plates & Lysol for the next poor soul that ends up in this nasty place! 

There is no “dining area”, only a small table with a shelf on the bottom, by the front door. One person couldn’t sit there, let alone two. Finally as for the fresh fruit, we arrived on a Tuesday and when we returned from Time Square on Friday afternoon, there were fruit flies in the fruit. All of it was completely rotted. So I understand that fruit might not be fresh after four days however when there are fruit flies, the fruit is completely rotted!! And underneath that did turn out to be the case. There were no trash bags of course but my daughter happened to find a used one under the kitchen sink. She put the rotted fruit and all of our garbage in there leaving the old bag in the trashcan as there were no more to put in it.
  I wouldn’t recommend this place to a family of monkeys let alone another human being. Check the review from November 2016 by Peter and Teresa. Wish I had checked that far into the reviews. I definitely would not have rented it!"
"36","43726","618102254",2020-03-14,339380330,"Elijah","Evette was extremely communicative throughout the whole process. Great location - would book again."
"37","44506","618087885",2020-03-14,5529203,"Romain","Harlem est magnifique, l'appartement est très bien situé, mais la propreté est à revoir, ainsi que les fournitures."
"38","46544","619622260",2020-03-18,7365396,"Patrick","The host canceled this reservation 59 days before arrival. This is an automated posting."
"39","50447","622740429",2020-04-19,241749023,"Daniel","Best host I have ever had by miles. Usually I don't even see or speak to my hosts other than basic info, but Laurie was extremely helpful in finding good food, directions, even subway help and info about the area. She even stocked the amazing kitchen with organic and very high quality coffee, eggs, bread, deli spreads and bagels which was so helpful as I was a first responder for the Covid crisis and had been worried about food. She shattered any previous standard I had had for an Airbnb host, and the apartment was on the same level. Can't wait to go back for a non-working vacation"
"40","50447","624522987",2020-05-11,96479006,"Hope","Laurie’s place is an overall wonderful, unique experience. The location near prospect park is fabulous, within walking distance to the park. Laurie’s is close to many markets, shops, and restaurants. The area around the home is upscale and safe. The place itself is clean, homey, eclectic. The kitchen is perfect size and has all the amenities you need. Having laundry right there to use is extremely convenient. The bedrooms are large and beds are comfortable. The bathroom is clean and a nice size. The back patio with a garden is STUNNING! There are very few downsides to the place, one being no television. (No big deal in comparison to all the wonderful aspects of this place.) 
Overall, my stay at Laurie’s included comfortable quarters, fantastic location, functional amenities and PHENOMENAL hospitality. I would stay again and I highly recommended!"
"41","50447","626521445",2020-05-28,6325810,"Jenny","Laurie's apt is perfect for those wanted to stay in the quiet neighborhood of Park Slope (South Slope). It is a cute neighborhood and you have access to her amazing backyard garden. She also provides you with plenty of delicious food for breakfast including croissants, eggs, yogurt and jam. It was the perfect Brooklyn escape for us."
"42","54508","619330853",2020-03-17,76436878,"Ryan","Paul was so great! We had a blast on our tour; we saw some amazing animals and Paul was able to tell us about all of them. He’s easy-going and fun to talk to, and his boat ride was a total blast. We had just as much fun sipping around the coast as we did seeing the amazing wildlife!"
"43","54508","622361475",2020-04-13,299204430,"Katharina Nino","The place is perfectly located and clean. Kathleen is a really helpful and kind person. Truly felt like home and I'll definitely be back."
"44","54860","620106293",2020-03-20,274199201,"Marie Jeanne","Bonjour à vous"
"45","55498","618548660",2020-03-15,73524198,"Merit","Everything was great--Tami's place offers enough privacy, is very clean and is situated in culturally enticing neighborhood--until force majeure hit and we had to cut our trip in NY very short due measures taken because of covid-19. It was thanks to Tami's idea that we managed to return back home without too much hassle and before the chaos in US airports. I hope to return to Brooklyn and to Tami's place very very soon in a normalized situation where life and travelling can be fully enjoyed again."
"46","57874","619481629",2020-03-17,44420399,"Kristen","This is a great apartment in Harlem. The space is comfortable and has everything you need. Easy access to the subway, shopping and restaurants. I would definently recommend and stay here again."
"47","57874","625624531",2020-05-22,179641021,"Linda","beautiful - great amenities - price - location - fantastic host!"
"48","58059","618707114",2020-03-15,67343726,"Sara","My son and I loved our stay at Agnes’ place. Very comfortable and convenient location. We were able to explore the city with ease. Lovely neighborhood and Agnes was so sweet and helpful!"
"49","58467","621837952",2020-04-05,88552780,"Jason","Fantastic hospitality! I stayed here for a few weeks-long stay while moving cross-country and needing time to find a full-time apartment. Wonderful hosts who were very communicative and very welcoming (welcoming as it gets). Great to chat with whenever we did!"
"50","60680","618535237",2020-03-15,25288841,"Debbie","Mich was very easy to connect to - access was so easy and simple- the location is brilliant and close to anything you need - great coffee shop just down the road- the apartment is great size by NY standards and had everything I needed for my stay
Will definitely return - thank you"
"51","60680","621973199",2020-04-07,229470387,"Bekim","Great Host, Understanding and Communicative."
"52","60948","619088797",2020-03-16,199983746,"Kendra","Laurine’s place was very nice and had a historic and homey New York feel. It was much more quiet than downtown and the transit was very easy to navigate (lines a,b,c,d & 2 &3 were in close proximity). The decor was minimal but added cute touches. If someone stays in the unit above you, you can hear them moving around (didn’t bother us much as they left on our second day). Laurine is very quick to respond to any concerns or questions & will try to accommodate!"
"53","62452","619486359",2020-03-17,339567421,"Sharon","A very clean quiet home away from home"
"54","62452","622855856",2020-04-21,338131044,"Rudy","Excellent place to stay"
"55","62452","623075124",2020-04-25,338131044,"Rudy","Great hosts, clean, awesome price"
"56","62461","621456674",2020-03-31,340539168,"Samuel","Great place to stay. Very quiet. Will not mind coming back. Thank you guys."
"57","62461","624090217",2020-05-06,206994616,"Amanda","Lisette was very responsive whenever I had a question or needed help.

The weather was nice when I arrived so Lots of neighbors were out enjoying themselves. 

I drove to SI and was able to find street parking. Her place is close to buses, a beautiful park, SI hospital, and local stores in a very culturally diverse and lively neighborhood of Staten Island which I liked a lot. This is what I appreciated the most because it amplified the realness of everyday SI working class and not the “movie” type NYC like Manhattan. 

It’s a clean, convenient affordable room exactly as described. Minimal things in the room which I appreciated, good place to lay your head down after a long day of touring or working. I had no issues whatsoever with others who stayed there and would request another stay in the future."
"58","62787","622464261",2020-04-15,340539168,"Samuel","Always enjoy my stay here. Thank you."
"59","62925","618640283",2020-03-15,82575400,"Marilyn","The space was truly unique and well thought out.  We had no issue getting around Brooklyn or into NYC.   The bed was very comfortable.  I would definitely stay here again."
"60","63003","618647562",2020-03-15,43866314,"Miles Luke","Clean. Easy checkin. Good communication. Host was helpful."
"61","63003","621531707",2020-04-01,34117745,"Oumar","Bel appartement confortable et agréable. 
Quartier très agréable que ce soit en termes de localisation ou de commerces avec tout ce qu'il faut tant au niveau restaurants que supérettes.
Le coronavirus nous forçant à rester confiné, j'ai pu rencontrer et passer du temps avec Adam. C'est un hôte attentionné, disponible et attentif. Il pourra vous donner de bons conseils sur quoi faire/ou aller à NY. En ce qui concerne sa personne, c'est quelqu'un de bienveillant et cultivé, vous aurez à coup sur des discussions intéressantes avec lui.
En termes de transport, compter 10 min pour rejoindre la station de métro la plus proche.
Pour résumé un super séjour malgré le contexte. Merci encore Adam!"
"62","63320","618964245",2020-03-16,82073124,"Felix","Was an amazing experience. Danylo is a really nice guy and very passionate about photography. We learned a lot and had much fun."
"63","63320","622572011",2020-04-17,67521469,"Melanie","The place is quiet and pleasant. You have a clean bathroom and a clean cafe/kitchen at your disposal."
"64","63360","619411781",2020-03-17,160680180,"Ken","Great location, very close to subway station, ride 15-20 min to midtown, 20 min to LGA airport.  Nice & cozy neighbors.  Quite reasonable.  Highly recommended!"
"65","63360","620279679",2020-03-21,125158724,"Jonathan","This space is clean, organized toward efficiency and has the essentials in the way of a comfortable stay. The location to the M/R lines in Manhattan is also an appreciable convenience, being located on the same block as the trains entrance and exit. Dennis was helpful."
"66","63719","622468158",2020-04-15,187523360,"Harish","My stay at Helene's place was a wonderful experience. The apartment itself is very safe and comfortable, with the room being especially cozy. Helene was an amazing host and if I ever get the chance to, I'd choose stay at her place again in a heartbeat."
"67","65615","618610925",2020-03-15,19916009,"Mateusz","Great place. I stayed there over a month and felt very comfortable. Valerie was also a great host."
"68","66008","620424763",2020-03-22,39602,"Michael","It was the best of times, it was the worst of times.  I arrived at Melissa's adorable garden apartment just 7 days before NYC was declared a coronavirus hotspot.  I was scheduled to stay at her place for a month while working on a dream job... and then my job was cancelled.  Melissa was very cooperative in dealing with Airbnb and making sure that we could cancel the reservation and that I could see a refund for the unused time.  I am very grateful.  The apartment has everything you need for a longer stay and is situated in the fantastic neighborhood of Carroll Gardens.  I wished I could have stayed longer!!!!  Best wishes and a million thanks to Melissa and her family."
"69","66275","622852484",2020-04-21,343744075,"Michalla","Very clean, spacious, nice apartment. Great location: across the street from a great park. Lots of food options in the area. 1 minute from the subway."
"70","66275","624235998",2020-05-08,343744075,"Michalla","Amazing place!"
"71","66718","627007109",2020-05-31,50145246,"Erik","Great space. Excellent location for city college and Columbia"
"72","66741","619206798",2020-03-16,122044891,"Chiara","Our group really liked Stefano's place. He is a great host, very responsive and understanding, he helped us a lot. The apartment is clean and close to a lot of restaurant, one of them is mg favourite bbq place in New York. We're incredibly sorry to leave sooner than expected but we'll definitely go back. 
Highly recommended."
"73","66974","620643060",2020-03-23,149430697,"Juice","Amazing stay during these times glad I was able to be so close to work ! Thanks for the great stay !"
"74","67288","620241865",2020-03-21,22828392,"Simon","Amazing apartment in a superior location. Great flat setup with plenty of sunlight and space for very comfortable living for one or two people. Nice little gym on the top floor (free). Less than 5min walk to the 2/3 express and 4 local metros, which are the most important to get around time. Also 3min walk to Central Park for walking and running. Good supermarket only one block away and large Target shopping centre in walking distance. While technically located in Spanish Harlem and close to various ""projects"", the immediate area feel generally safe (after a bit getting used to)."
"75","67288","627838803",2020-06-05,17158556,"Linda","Very nice apartment and building.  Urban street noise to be expected in NYC.  Very close to public transport, and the amazing Central Park.  Our stay was during the pandemic era so not much to do except walk around and see the city itself.  Three grocery stores within a block and nice deli (an East Harlem version) across the street.  Good value for NYC."
"76","67299","621258623",2020-03-29,20053701,"Emmy","We were three people staying at Adrienne's and we absolutely loved it! The location in Williamsburg is amazing, close to lots and lots of cosy cafes, awesome restaurants and quirky shops! The stay was perfect, we had everything we needed in the apartment and if we needed anything Adrienne was always quick and happy to help! In the mornings we could hear the foot steps from above, but we had already been warned, and we didn't find it annoying. We had planned to stay four weeks but had to leave after two weeks because of the outbreak of the corona virus... But our two weeks were fantastic and if we're ever back in NYC again we would stay here again and I would recommend it to anybody!"
"77","68735","619077515",2020-03-16,45708755,"Christine","This is the perfect apartment in the heart of the Upper Westside,  very close to the subway, shops and restaurants. It feels homey, is very bright and spacious, very well equipped and clean. The balcony with its views is exceptional. Violetta is a wonderful and attentive host. I hope to be back!"
"78","68765","621840056",2020-04-05,111129680,"Grace","Jenna's place was lovely in one of the most charming neighborhoods in Brooklyn. Her place is right by the train and by stores. The apartment had everything you could ask for. I would highly recommend staying at Jenna's place!"
"79","68765","622296195",2020-04-12,111129680,"Grace","Jenna's place is absolutely wonderful! It has everything you could ask for and more. It was a very comfortable stay and the communication was incredible. Would recommend her place to anyone. Thank you again!"
"80","68765","623534638",2020-05-01,151018276,"Dolores","Hmmm . What you can expect from Jenna place is a comfortable, spacious quiet place to stay that is walking distance to public transportation, a short distance from Manhattan with my favorite...Whole Foods in close proximity. I would stay here again for future NYC trips."
"81","69894","619464464",2020-03-17,1569745,"Joanne","Silvia’s place is very conveniently located—just a block from the 1/2/3 subway—and next to great food/grocery/easy shopping options (Trader Joe’s, Fairway, Bloomingdales outlet!). Siliva is an extremely kind and most hospitable host. Will go out of her way to ensure you are satisfied throughout your stay. The apt is very comfortable, chic, clean and perfect for an NYC getaway for a few days or longer. Would absolutely stay again."
"82","71248","618581883",2020-03-15,4975251,"Sintec","The place is smaller than expected, but it has everything for an extended stay.
The host is an absolute pleasure to deal with 
Highly recommended!"
"83","71366","621594081",2020-04-02,93624253,"Gwen","I cannot imagine a better located apartment in Manhattan. Close to most all the subways, an interesting yet peaceful neighborhood, minutes to Times Square. The one-floor-up (that's important) apartment is small but adequate for 2 people. There is street noise (the police station is next door, but they are considerate), but hey, this is New York City. The host is exceptionally responsive and helpful. We hope to be back."
"84","74333","623021390",2020-04-24,132627651,"Jonathan","Amir was professional, easy-going, helpful, and kind.  Great location & surprisingly quiet! Definitely recommend!!"
"85","75193","618099955",2020-03-14,128366072,"Julia","Scotts apartment in Brooklyn is such a gem! Check in/check out was such a breeze. The apartment was clean and had a great location and all for such a great price!! The best part about the apartment though is Scott! He was so welcoming and lovely to talk to. If you are looking for a friendly, welcoming place to stay, this is the spot! I have only good things to say about my stay here."
"86","75635","618029896",2020-03-14,5062514,"Melissa","Because of COVID-19 we weren’t actually able to stay here - but as soon as we can reschedule, I hope to reserve Patty’s place again. She has been delightful to communicate with, and I would recommend her on that basis alone."
"87","76761","621038871",2020-03-27,50854871,"Jennifer","This apartment is fantastic! Very spacious, comfortable and clean. Host is extremely responsive. Would highly recommend this property to anyone who wants to stay in Park slope!"
"88","76761","621351480",2020-03-30,209085177,"Craig","Very spacious and clean. The kitchen is filled with all your cooking needs. Toiletries and bedroom amenities provided."
"89","84659","619876526",2020-03-19,245981105,"Carolina","Wow! What a great place! The pictures do not make this apartment justice at all. It’s really spacious, high roof and the bed is to die for. Apple TV, Netflix and Bluetooth speaker helped on rainy days. The location is great, Saint Marks is a very hip place, a lot of young people and a very busy place which is why I love it. Easy to get around since the metro is literally 3 minutes away. Great restaurants just a step out the door, or if you just want a quick 1$ slice pizza, two bro’s is just to your right when coming out the building. A noisy neighborhood, but that’s why I chose this place. Not too much noise in the actual apartment, but the building has no elevator so keep that in mind! Also, this apartment is full of personal items such as family photos, clothing etc, which some people don’t appreciate but personally I had no problem with it. Kyle was an absolute sweet heart and is really quick with replies and super helpful, especially in this whole chaos that is the Corona virus meaning I had to cancel 3 nights which was no problem and I got a full refund. Love love love, will probably book again when coming back! Highly recommend <3"
"90","84659","624668845",2020-05-13,343256000,"Mubasshira","My boyfriend and I had a great time at kyle’s place. He was very responsive and quick to help with any problems we had. He’s also flexible and understanding. The apartment was beautiful, the pictures doesn’t do it justice. It’s in a great neighborhood with everything close by. Definitely perfect for long stays. The place has everything you need. Also a very quiet place."
"91","84659","626650178",2020-05-29,170098338,"Sj","St Marks Place is in the heart of the East Village. This unit is located on the fourth floor but  is clearly represented in the description in every other way. The host is prompt, friendly, and responsive to all messages. It’s a rear-facing unit (the windows face south) so you’ll not hear the late night carrying on of the bars and restaurants of St Marks Place(not that that was a thing during our COVID lockdown stay) but you will hear the chatter and partying in the courtyards that sit behind the property. It’s not a knock on the unit, it’s a feature of living in NYC. The ac unit neutralizes the outside noise and does a great job keeping the unit comfortable. 

For downtime, there is a nice flat screen tv equipped with Apple TV and a digital antenna. WiFi works great. Kitchen is equipped with above average pots pans utensils. Teapot and French press coffee maker is simple and effective means of getting your daily caffeine. Good hot water and water pressure. 

Except for the thigh busting climb of 60+ stairs, this unit is just as described, and in a great part of NYC. Clean, no bugs and a great host."
"92","93313","620034528",2020-03-20,175493481,"Gabriela","Nos sentimos cómodos y seguros en el departamento de Nathalie. Las camas eran cómodas, la cocina muy bien equipada al igual que el baño. El espacio es amplio y luminoso. El departamento se encuentra cercano a una estación de metro que lleva a Manhattan (a 7 mins. caminando). 
Nathalie es una buena host, estuvo siempre atenta a nuestras dudas. Muchas gracias por hospedarnos en tu alojamiento.
Muy buena relación precio - calidad."
"93","94477","618632863",2020-03-15,334154220,"Judithyana","Great stay. It was located in a very convenient spot, Jason communicated very well and was a really good host. Everything I needed was there and he provided directions which made the transition easier. I’m definitely looking forward to booking again, it was a great experience."
"94","94783","621758206",2020-04-04,4827675,"Tenley","I had a wonderful stay in this lovely apartment. The place is filled with light, awesome art, and beautiful plants. The king bed is so comfortable, the large bathroom is sparkling clean, and the kitchen is well-equipped with brand new appliances. There are a ton of restaurants and cafes nearby and the location is in close proximity to many subway stops. I wish I could have stayed even longer and I would definitely consider returning. Keishera is a lovely host!"
"95","99070","628200392",2020-06-07,215873300,"Lindsay","Wonderful host, very organized and helpful in every way from answering questions to giving great tips! Would definitely recommend!"
"96","99085","619839284",2020-03-19,6087392,"Lauren","I loved my two months in Wanda's beautiful stylist apartment. The space is really warm and light and very well located near several transport links and the park. I also loved the area with so many great bars and restaurants around and the BAM and Shala House Yoga just minutes away. Highly recommended (especially for one person)."
"97","105469","620019412",2020-03-20,50310765,"Shimpei","The host canceled this reservation 4 days before arrival. This is an automated posting."
"98","105510","623643741",2020-05-02,342892871,"Dinah","Exactly like the pictures, this was a great place to stay and Alex was easy to communicate with!"
"99","106363","618556215",2020-03-15,4784421,"Helen","Alicia's home feels like home from the moment you have the pleasure of meeting her and walking inside. Her place is located close to a park (where a new friend of mine apparently used to go running) and within walking distance of some great cafes with plenty of stores and restaurants also in the area (I was more focused on coffee). The room was very comfortable, and the private bathroom was spotless and surprisingly large (and comes with its own window with a view!). Definitely coming back on my next trip to NY!"
"100","107630","626777750",2020-05-30,14811533,"Sara","I had a fantastic stay at Maya's. Maya is very considerate and communicates very clearly and promptly - from check-in to check-out, I felt like I could reach out with questions/concerns and receive a clear, quick and honest answer.  The place itself is very charming, clean and comfortable. It is clear that it is owned by someone who is artistic and possesses an aesthetic sensibility. I loved being surrounded by vintage items and spent a good amount of time reading the fabulous Brooklyn Rail journal, which was a new discovery! Thank you, Maya, for everything!"
"101","114229","621548518",2020-04-01,17517042,"Katia","Our trip to NY was planned for the end of April.  We chose Tony's apartment not only for its ideal location but also for all the positive comments he received, which reassured us a lot!  Our small group of 5 people quickly got in touch with Tony via a (Hidden by Airbnb) group where we could all ask questions and talk to our host.  Tony was responsive, helpful and friendly.  He was there to give us the right tips to best prepare our trip, always ready to find out what we could get out of it.  He regularly sent us photos and videos of his neighborhood to give us a taste of what our ""home"" would be like for a week.  Unfortunately the pandemic context made us have to cancel our trip and consequently our stay at Tony's house.  Once again, he was accommodating and understanding and the cancellation was made under optimal conditions.  As this is only a postponement, we have postponed our trip to a later date and we will be going to Tony's house!  Many thanks to you Tony for your help and understanding!  We'll see you soon as we're planning to give you your raclette cheese in person! In the meantime, take care of yourself!"
"102","115678","619072504",2020-03-16,331047407,"Machone","It’s a great place to stay it’s convenient in close to everything you need., We really enjoy meeting Will’s Dad. He was very helpful.."
"103","115678","620056782",2020-03-20,18370747,"Becker","The host canceled this reservation the day before arrival. This is an automated posting."
"104","115678","620769958",2020-03-24,219546044,"Steven","Great stay"
